puzzle_id	records	solved_segments	improved_segments	source_files
0	22	22	4	solution_repair_resident_31612_0_0.tsv,solution_repair_resident_31613_0_0.tsv,solution_repair_resident_31614_0_0.tsv
1	2	2	0	solution_repair_resident_31613_0_0.tsv,solution_repair_resident_31614_0_0.tsv
2	44	44	5	solution_repair_resident_31613_0_0.tsv,solution_repair_resident_31614_0_0.tsv
3	2	2	0	solution_repair_resident_31613_0_0.tsv,solution_repair_resident_31614_0_0.tsv
4	2	2	0	solution_repair_resident_31613_0_0.tsv,solution_repair_resident_31614_0_0.tsv
5	2	2	0	solution_repair_resident_31613_0_0.tsv,solution_repair_resident_31614_0_0.tsv
6	2	2	0	solution_repair_resident_31613_0_0.tsv,solution_repair_resident_31614_0_0.tsv
7	4	4	0	solution_repair_resident_31613_0_0.tsv,solution_repair_resident_31614_0_0.tsv
8	2	2	1	solution_repair_resident_31613_0_0.tsv,solution_repair_resident_31614_0_0.tsv
9	12	12	6	solution_repair_resident_31613_0_0.tsv,solution_repair_resident_31614_0_0.tsv
10	4	4	2	solution_repair_resident_31613_0_0.tsv,solution_repair_resident_31614_0_0.tsv
11	20	20	10	solution_repair_resident_31613_0_0.tsv,solution_repair_resident_31614_0_0.tsv
12	2	2	1	solution_repair_resident_31613_0_0.tsv,solution_repair_resident_31614_0_0.tsv
13	30	30	0	solution_repair_resident_31613_0_0.tsv,solution_repair_resident_31614_0_0.tsv
14	12	12	12	solution_repair_resident_31613_0_0.tsv
15	22	22	4	solution_repair_resident_31613_0_0.tsv
16	4	4	2	solution_repair_resident_31613_0_0.tsv
17	28	28	13	solution_repair_resident_31613_0_0.tsv
18	13	13	0	solution_repair_resident_31613_0_0.tsv
19	74	74	36	solution_repair_resident_31613_0_0.tsv
20	44	44	22	solution_repair_resident_31613_0_0.tsv
21	28	28	28	solution_repair_resident_31613_0_0.tsv
22	16	16	8	solution_repair_resident_31613_0_0.tsv
23	28	28	14	solution_repair_resident_31613_0_0.tsv
24	18	18	18	solution_repair_resident_31613_0_0.tsv
25	24	24	12	solution_repair_resident_31613_0_0.tsv
26	50	50	48	solution_repair_resident_31613_0_0.tsv
27	171	171	104	solution_repair_resident_31613_0_0.tsv
28	24	24	23	solution_repair_resident_31613_0_0.tsv
29	28	28	27	solution_repair_resident_31613_0_0.tsv
30	6	6	6	solution_repair_resident_31613_0_0.tsv
31	138	138	79	solution_repair_resident_31613_0_0.tsv
32	4	4	4	solution_repair_resident_31613_0_0.tsv
33	78	78	51	solution_repair_resident_31613_0_0.tsv
34	4	4	2	solution_repair_resident_31613_0_0.tsv
35	6	6	6	solution_repair_resident_31613_0_0.tsv
36	8	8	8	solution_repair_resident_31613_0_0.tsv
37	57	57	34	solution_repair_resident_31613_0_0.tsv
38	14	14	14	solution_repair_resident_31613_0_0.tsv
39	6	6	6	solution_repair_resident_31613_0_0.tsv
40	22	22	18	solution_repair_resident_31613_0_0.tsv
41	96	96	53	solution_repair_resident_31613_0_0.tsv
42	14	14	14	solution_repair_resident_31613_0_0.tsv
43	93	93	57	solution_repair_resident_31613_0_0.tsv
44	18	18	17	solution_repair_resident_31613_0_0.tsv
45	153	153	97	solution_repair_resident_31613_0_0.tsv
46	24	24	21	solution_repair_resident_31613_0_0.tsv
47	99	99	55	solution_repair_resident_31613_0_0.tsv
48	8	8	4	solution_repair_resident_31613_0_0.tsv
49	60	60	27	solution_repair_resident_31613_0_0.tsv
50	4	4	4	solution_repair_resident_31613_0_0.tsv
51	45	45	30	solution_repair_resident_31613_0_0.tsv
52	14	14	14	solution_repair_resident_31613_0_0.tsv
53	87	87	51	solution_repair_resident_31613_0_0.tsv
54	22	22	22	solution_repair_resident_31613_0_0.tsv
55	12	12	10	solution_repair_resident_31613_0_0.tsv
56	2	2	2	solution_repair_resident_31613_0_0.tsv
57	51	51	32	solution_repair_resident_31613_0_0.tsv
58	8	8	8	solution_repair_resident_31613_0_0.tsv
59	66	66	39	solution_repair_resident_31613_0_0.tsv
60	8	8	8	solution_repair_resident_31613_0_0.tsv
61	42	42	21	solution_repair_resident_31613_0_0.tsv
62	8	8	5	solution_repair_resident_31613_0_0.tsv
63	51	51	33	solution_repair_resident_31613_0_0.tsv
64	8	8	8	solution_repair_resident_31613_0_0.tsv
65	108	108	62	solution_repair_resident_31613_0_0.tsv
66	4	4	4	solution_repair_resident_31613_0_0.tsv
67	23	23	16	solution_repair_resident_31613_0_0.tsv
939	21	21	0	solution_repair_resident_31615_0_0.tsv
940	14	14	0	solution_repair_resident_31615_0_0.tsv
941	6	6	0	solution_repair_resident_31615_0_0.tsv
942	6	6	0	solution_repair_resident_31615_0_0.tsv
943	63	63	0	solution_repair_resident_31615_0_0.tsv
944	6	6	0	solution_repair_resident_31615_0_0.tsv
945	8	8	0	solution_repair_resident_31615_0_0.tsv
946	4	4	0	solution_repair_resident_31615_0_0.tsv
947	6	6	0	solution_repair_resident_31615_0_0.tsv
948	6	6	0	solution_repair_resident_31615_0_0.tsv
949	87	87	0	solution_repair_resident_31615_0_0.tsv
950	14	14	0	solution_repair_resident_31615_0_0.tsv
951	111	111	0	solution_repair_resident_31615_0_0.tsv
952	22	22	0	solution_repair_resident_31615_0_0.tsv
953	24	24	0	solution_repair_resident_31615_0_0.tsv
954	16	16	0	solution_repair_resident_31615_0_0.tsv
955	39	39	0	solution_repair_resident_31615_0_0.tsv
956	22	22	0	solution_repair_resident_31615_0_0.tsv
957	14	14	0	solution_repair_resident_31615_0_0.tsv
958	8	8	0	solution_repair_resident_31615_0_0.tsv
959	75	75	0	solution_repair_resident_31615_0_0.tsv
960	4	4	0	solution_repair_resident_31615_0_0.tsv
961	144	144	0	solution_repair_resident_31615_0_0.tsv
962	4	4	0	solution_repair_resident_31615_0_0.tsv
963	114	114	0	solution_repair_resident_31615_0_0.tsv
964	14	14	0	solution_repair_resident_31615_0_0.tsv
965	69	69	0	solution_repair_resident_31615_0_0.tsv
966	12	12	0	solution_repair_resident_31615_0_0.tsv
967	81	81	0	solution_repair_resident_31615_0_0.tsv
968	2	2	0	solution_repair_resident_31615_0_0.tsv
969	66	66	0	solution_repair_resident_31615_0_0.tsv
970	6	6	0	solution_repair_resident_31615_0_0.tsv
971	45	45	0	solution_repair_resident_31615_0_0.tsv
972	2	2	0	solution_repair_resident_31615_0_0.tsv
973	120	120	0	solution_repair_resident_31615_0_0.tsv
974	38	38	0	solution_repair_resident_31615_0_0.tsv
975	2	2	0	solution_repair_resident_31615_0_0.tsv
976	2	2	0	solution_repair_resident_31615_0_0.tsv
977	2	2	0	solution_repair_resident_31615_0_0.tsv
978	2	2	0	solution_repair_resident_31615_0_0.tsv
979	6	6	0	solution_repair_resident_31615_0_0.tsv
980	10	10	0	solution_repair_resident_31615_0_0.tsv
981	60	60	0	solution_repair_resident_31615_0_0.tsv
982	2	2	0	solution_repair_resident_31615_0_0.tsv
983	78	78	0	solution_repair_resident_31615_0_0.tsv
984	10	10	0	solution_repair_resident_31615_0_0.tsv
985	78	78	0	solution_repair_resident_31615_0_0.tsv
986	12	12	0	solution_repair_resident_31615_0_0.tsv
987	4	4	0	solution_repair_resident_31615_0_0.tsv
988	8	8	0	solution_repair_resident_31615_0_0.tsv
989	135	135	0	solution_repair_resident_31615_0_0.tsv
990	20	20	0	solution_repair_resident_31615_0_0.tsv
991	27	27	0	solution_repair_resident_31615_0_0.tsv
992	4	4	0	solution_repair_resident_31615_0_0.tsv
993	81	81	0	solution_repair_resident_31615_0_0.tsv
994	2	2	0	solution_repair_resident_31615_0_0.tsv
995	264	264	0	solution_repair_resident_31615_0_0.tsv
996	24	24	0	solution_repair_resident_31615_0_0.tsv
997	66	66	0	solution_repair_resident_31615_0_0.tsv
998	2	2	0	solution_repair_resident_31615_0_0.tsv
999	60	60	0	solution_repair_resident_31615_0_0.tsv
1000	10	10	0	solution_repair_resident_31615_0_0.tsv
1001	93	93	0	solution_repair_resident_31615_0_0.tsv
