solution_path	solution_length	puzzle_id	final_orientation	author_name	submitted_at	submission_id	run_id	solver_commit	record_path
'-f1.-r1.f2.r1.f1.-r1.-f2.r1	8	1	original	public-example-cayleypy-2xt4-ihes-example	2026-08-01T10:22:07.507Z	019fbcd8-6cd7-77bd-878c-d003319cea8e	run-62e68248a8fa433d9c618de85d23c94f	039a4fb9c699bda644efbb0f8ee7a5b51efbb5d2	results/v1/cayleypy-ihes-cube/cayleypy-72-18-8d89ca84c2a630e5/1/2026-08-01/019fbcd8-6cd7-77bd-878c-d003319cea8e.json
'-f1.-r1.f2.r1.f1.-r1.-f2.r1	8	1	original	public-example-cayleypy-2xt4-ihes-example	2026-08-01T12:46:51.606Z	019fbd5c-efd6-729d-94b9-1b06099b1be6	run-2702780f180b4d888aa732a98904d4e6	cb9e911914bdb4ac63c2b5306f554e5a76b9884e	results/v1/cayleypy-ihes-cube/cayleypy-72-18-8d89ca84c2a630e5/1/2026-08-01/019fbd5c-efd6-729d-94b9-1b06099b1be6.json
'-f1.-r1.f2.r1.f1.-r1.-f2.r1	8	1	original	public-example-cayleypy-2xt4-ihes-example	2026-08-01T13:02:29.787Z	019fbd6b-4048-70e8-ab12-b6cd4a373267	run-96f63b85ee0e46bc908925668a41b33d	cb9e911914bdb4ac63c2b5306f554e5a76b9884e	results/v1/cayleypy-ihes-cube/cayleypy-72-18-8d89ca84c2a630e5/1/2026-08-01/019fbd6b-4048-70e8-ab12-b6cd4a373267.json
'-f1.-r1.f2.r1.f1.-r1.-f2.r1	8	1	original	public-example-cayleypy-2xt4-ihes-example	2026-08-01T13:15:18.289Z	019fbd76-f9b8-789d-936f-35ba3be1ced4	run-4ab5dfd1b8d1478c96979c9aa1eaaae0	78565a76f06c6a7c1d98a9e871d81cb64df71ee1	results/v1/cayleypy-ihes-cube/cayleypy-72-18-8d89ca84c2a630e5/1/2026-08-01/019fbd76-f9b8-789d-936f-35ba3be1ced4.json
'-f1.-r1.f2.r1.f1.-r1.-f2.r1	8	1	original	public-example-cayleypy-2xt4-ihes-example	2026-08-01T15:36:16.142Z	019fbdf8-095c-7596-b9bd-5d06ac448fae	run-2f794fba9ee044dfa943a4143b5139d7	cec74003f262e9d93d2fc0cc56a5e2d49a5010e0	results/v1/cayleypy-ihes-cube/cayleypy-72-18-8d89ca84c2a630e5/1/2026-08-01/019fbdf8-095c-7596-b9bd-5d06ac448fae.json
'-f1.-r1.f2.r1.f1.-r1.-f2.r1	8	1	original	public-example-cayleypy-2xt4-ihes-example	2026-08-01T18:04:24.698Z	019fbe7f-ab1b-7bd9-8792-5219491c4f56	run-fe39390d027c4fa49f6992ac2c399815	f2261a81873ea162a0c36ba8874b9173db8d4083	results/v1/cayleypy-ihes-cube/cayleypy-72-18-8d89ca84c2a630e5/1/2026-08-01/019fbe7f-ab1b-7bd9-8792-5219491c4f56.json
'-f1.-r1.f2.r1.f1.-r1.-f2.r1	8	1	original	public-example-cayleypy-2xt4-ihes-example	2026-08-01T21:23:59.911Z	019fbf36-643b-7bea-a737-383ca38b6f0d	run-0a840d0f79af4f64884e0d283f4732aa	f679504baddbab3765c91af526e57ec9360cf309	results/v1/cayleypy-ihes-cube/cayleypy-72-18-8d89ca84c2a630e5/1/2026-08-01/019fbf36-643b-7bea-a737-383ca38b6f0d.json
r1.-d1.-r1.d2.r1.d1.-r1.-d2	8	1	original	public-example-cayleypy-2xt4-ihes-example-first	2026-07-31T12:51:09.384Z	019fb83a-838c-7382-9cf8-d19992fef340	run-664b29a62527440ab94e140ecdc3a630	a1db0e6d9bb5458c8a842b37dfa99572d3025667	results/v1/cayleypy-ihes-cube/cayleypy-72-18-8d89ca84c2a630e5/1/2026-07-31/019fb83a-838c-7382-9cf8-d19992fef340.json
'-r1.d1.r1.d2.-r1.-d1.r1.-d2	8	1	original	public-example-cayleypy-2xt4-ihes-example-collect	2026-07-31T12:51:14.304Z	019fb83a-a885-7b83-9391-ea34539d46ff	run-39acc073c64048f6ab0ee42991a7f3ec	a1db0e6d9bb5458c8a842b37dfa99572d3025667	results/v1/cayleypy-ihes-cube/cayleypy-72-18-8d89ca84c2a630e5/1/2026-07-31/019fb83a-a885-7b83-9391-ea34539d46ff.json
r1.-d1.-r1.d2.r1.d1.-r1.-d2	8	1	original	public-example-cayleypy-2xt4-ihes-example-collect	2026-07-31T12:51:14.235Z	019fb83a-a897-729e-95ad-093ce5abde7b	run-39acc073c64048f6ab0ee42991a7f3ec	a1db0e6d9bb5458c8a842b37dfa99572d3025667	results/v1/cayleypy-ihes-cube/cayleypy-72-18-8d89ca84c2a630e5/1/2026-07-31/019fb83a-a897-729e-95ad-093ce5abde7b.json
r2.-d1.r1.d1.-r2.-d1.-r1.d1	8	1	original	public-example-cayleypy-2xt4-ihes-example-collect	2026-07-31T12:51:14.413Z	019fb83a-a897-7354-b0ba-e8869725e48d	run-39acc073c64048f6ab0ee42991a7f3ec	a1db0e6d9bb5458c8a842b37dfa99572d3025667	results/v1/cayleypy-ihes-cube/cayleypy-72-18-8d89ca84c2a630e5/1/2026-07-31/019fb83a-a897-7354-b0ba-e8869725e48d.json
'-f1.-r1.f2.r1.f1.-r1.-f2.r1	8	1	original	public-example-cayleypy-2xt4-ihes-example-collect	2026-07-31T12:51:14.397Z	019fb83a-a897-7449-8e90-277efb7f2b19	run-39acc073c64048f6ab0ee42991a7f3ec	a1db0e6d9bb5458c8a842b37dfa99572d3025667	results/v1/cayleypy-ihes-cube/cayleypy-72-18-8d89ca84c2a630e5/1/2026-07-31/019fb83a-a897-7449-8e90-277efb7f2b19.json
'-d2.r1.-d1.-r1.d2.r1.d1.-r1	8	1	original	public-example-cayleypy-2xt4-ihes-example-collect	2026-07-31T12:51:14.322Z	019fb83a-a897-76f6-8cbc-bbe882985bac	run-39acc073c64048f6ab0ee42991a7f3ec	a1db0e6d9bb5458c8a842b37dfa99572d3025667	results/v1/cayleypy-ihes-cube/cayleypy-72-18-8d89ca84c2a630e5/1/2026-07-31/019fb83a-a897-76f6-8cbc-bbe882985bac.json
